participant,list,discriminability,phase,relevance,response,sufficient,hex,trial,matCode,matLabel,colLabel,accurate,non_filler_count,overdescription,adjective,dimOfOverDescription
participant001,list2,high,description,relevant,yellow metal bat,color,#f8dc4f,filler,metal_wood_00,metal,yellow,TRUE,2,TRUE,color & material,material
participant001,list2,low,description,irrelevant,metal bat,sound,#fab450,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant001,list2,low,description,irrelevant,yellow bat,color,#f8dc4f,critical,metal_wood_07,wood,yellow,TRUE,1,FALSE,color,NA
participant001,list2,low,description,relevant,wood bat,sound,#f8884f,critical,metal_wood_07,wood,orange,TRUE,1,FALSE,material,NA
participant001,list2,high,description,base,wood orange bat,color,#f8884f,critical,metal_wood_08,wood,orange,TRUE,2,TRUE,color & material,material
participant001,list2,low,description,relevant,wood orange,sound,#f8884f,critical,metal_wood_05,metal,orange,FALSE,2,TRUE,color & material,color
participant001,list2,low,description,relevant,yellow metal bat,sound,#f8dc4f,critical,metal_wood_07,wood,yellow,FALSE,2,TRUE,color & material,color
participant001,list2,low,description,irrelevant,orange bat,color,#f8884f,critical,metal_wood_05,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,low,description,relevant,yellow metal bat,sound,#f8dc4f,critical,metal_wood_05,metal,yellow,TRUE,2,TRUE,color & material,color
participant001,list2,low,description,relevant,orange wood bat,sound,#f8884f,critical,metal_wood_07,wood,orange,TRUE,2,TRUE,color & material,color
participant001,list2,low,description,irrelevant,metal bat,sound,#fab450,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant001,list2,high,description,base,orange bat,color,#f8884f,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,high,description,relevant,metal bat,sound,#f8dc4f,filler,metal_wood_01,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,high,description,base,metal bat,sound,#f8dc4f,critical,metal_wood_01,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,high,description,base,wood bat,sound,#f8884f,critical,metal_wood_08,wood,orange,TRUE,1,FALSE,material,NA
participant001,list2,low,description,irrelevant,metal bat,sound,#fab950,critical,metal_wood_00,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,high,description,relevant,metal bat,sound,#f8dc4f,filler,metal_wood_00,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,low,description,irrelevant,orange bat,color,#f8884f,critical,metal_wood_05,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,low,description,relevant,orange metal bat,color,#fab950,critical,metal_wood_00,metal,yellow,FALSE,2,TRUE,color & material,material
participant001,list2,low,description,relevant,orange wood bat,color,#fab950,critical,metal_wood_08,wood,yellow,FALSE,2,TRUE,color & material,material
participant001,list2,high,description,base,orange wood,sound,#f8884f,critical,metal_wood_09,wood,orange,TRUE,2,TRUE,color & material,color
participant001,list2,high,description,base,yellow wood,sound,#f8dc4f,critical,metal_wood_08,wood,yellow,TRUE,2,TRUE,color & material,color
participant001,list2,high,description,relevant,orange,color,#f8884f,filler,metal_wood_08,wood,orange,TRUE,1,FALSE,color,NA
participant001,list2,low,description,irrelevant,orange wood,color,#f8884f,critical,metal_wood_07,wood,orange,TRUE,2,TRUE,color & material,material
participant001,list2,low,description,relevant,orange,color,#fab450,critical,metal_wood_09,wood,orange,TRUE,1,FALSE,color,NA
participant001,list2,high,description,relevant,orange,color,#f8884f,filler,metal_wood_08,wood,orange,TRUE,1,FALSE,color,NA
participant001,list2,low,description,irrelevant,orange wood,sound,#fab450,critical,metal_wood_09,wood,orange,TRUE,2,TRUE,color & material,color
participant001,list2,low,description,relevant,orange wood,sound,#f8884f,critical,metal_wood_05,metal,orange,FALSE,2,TRUE,color & material,color
participant001,list2,high,description,base,metal,sound,#f8884f,critical,metal_wood_01,metal,orange,TRUE,1,FALSE,material,NA
participant001,list2,low,description,irrelevant,metal,sound,#fab950,critical,metal_wood_00,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,low,description,relevant,wood,sound,#f8884f,critical,metal_wood_07,wood,orange,TRUE,1,FALSE,material,NA
participant001,list2,high,description,relevant,orange,color,#f8884f,filler,metal_wood_00,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,low,description,irrelevant,yellow,color,#f8dc4f,critical,metal_wood_07,wood,yellow,TRUE,1,FALSE,color,NA
participant001,list2,low,description,irrelevant,metal,sound,#fab950,critical,metal_wood_00,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,low,description,irrelevant,metal,sound,#fab950,critical,metal_wood_00,metal,yellow,TRUE,1,FALSE,material,NA
participant001,list2,low,description,irrelevant,orange wood,color,#f8884f,critical,metal_wood_07,wood,orange,TRUE,2,TRUE,color & material,material
participant001,list2,high,description,relevant,wood,sound,#f8dc4f,filler,metal_wood_08,wood,yellow,TRUE,1,FALSE,material,NA
participant001,list2,high,description,base,yellow wood,color,#f8dc4f,critical,metal_wood_09,wood,yellow,TRUE,2,TRUE,color & material,material
participant001,list2,low,description,irrelevant,yellow wood,color,#f8dc4f,critical,metal_wood_05,metal,yellow,TRUE,2,TRUE,color & material,material
participant001,list2,high,description,base,orange,color,#f8884f,critical,metal_wood_08,wood,orange,TRUE,1,FALSE,color,NA
participant001,list2,low,description,relevant,orange metal,color,#fab450,critical,metal_wood_00,metal,orange,TRUE,2,TRUE,color & material,material
participant001,list2,high,description,base,yellow metal,sound,#f8dc4f,critical,metal_wood_00,metal,yellow,TRUE,2,TRUE,color & material,color
participant001,list2,high,description,relevant,wood,sound,#f8dc4f,filler,metal_wood_08,wood,yellow,TRUE,1,FALSE,material,NA
participant001,list2,low,description,relevant,orange,color,#fab450,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,high,description,base,yellow,color,#f8dc4f,critical,metal_wood_00,metal,yellow,TRUE,1,FALSE,color,NA
participant001,list2,high,description,base,orange,color,#f8884f,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,high,description,base,orange wood,sound,#f8884f,critical,metal_wood_08,wood,orange,TRUE,2,TRUE,color & material,color
participant001,list2,low,description,irrelevant,metal,sound,#fab450,critical,metal_wood_01,metal,orange,TRUE,1,FALSE,material,NA
participant001,list2,low,description,relevant,yellow,color,#fab950,critical,metal_wood_00,metal,yellow,TRUE,1,FALSE,color,NA
participant001,list2,low,description,relevant,yellow,color,#fab950,critical,metal_wood_08,wood,yellow,TRUE,1,FALSE,color,NA
participant001,list2,high,description,base,metal,sound,#f8884f,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant001,list2,high,description,relevant,wood,sound,#f8884f,filler,metal_wood_08,wood,orange,TRUE,1,FALSE,material,NA
participant001,list2,high,description,base,yellow,color,#f8dc4f,critical,metal_wood_09,wood,yellow,TRUE,1,FALSE,color,NA
participant001,list2,low,description,irrelevant,orange,color,#f8884f,critical,metal_wood_05,metal,orange,TRUE,1,FALSE,color,NA
participant001,list2,high,description,base,yellow,color,#f8dc4f,critical,metal_wood_01,metal,yellow,TRUE,1,FALSE,color,NA
participant001,list2,low,description,relevant,yellow metal,sound,#f8dc4f,critical,metal_wood_05,metal,yellow,TRUE,2,TRUE,color & material,color
participant001,list2,high,description,relevant,yellow,color,#f8dc4f,filler,metal_wood_09,wood,yellow,TRUE,1,FALSE,color,NA
participant005,list3,high,description,relevant,green wooden bat,color,#4ff889,filler,metal_wood_08,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,relevant,green metal bat,color,#4ff889,filler,metal_wood_00,metal,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,metal bat,sound,#53e4e6,critical,metal_wood_00,metal,blue,TRUE,1,FALSE,material,NA
participant005,list3,low,description,relevant,blue metal bat,color,#52ebe3,critical,metal_wood_00,metal,green,FALSE,2,TRUE,color & material,material
participant005,list3,low,description,relevant,green metal bat,sound,#4ff889,critical,metal_wood_04,metal,green,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,green wooden bat,color,#52ebe3,critical,metal_wood_08,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,green wooden bat,sound,#53e4e6,critical,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,blue wooden bat,color,#4fc0f8,critical,metal_wood_05,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue wooden,color,#4fc0f8,critical,metal_wood_08,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue metal bat,sound,#53e4e6,critical,metal_wood_00,metal,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,green metal bat,color,#4ff889,critical,metal_wood_04,metal,green,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,relevant,blue metal bat,color,#4fc0f8,filler,metal_wood_00,metal,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,relevant,green wooden,color,#52ebe3,critical,metal_wood_08,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue wooden,color,#4fc0f8,critical,metal_wood_05,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue metal,sound,#4fc0f8,critical,metal_wood_00,metal,blue,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,relevant,blue wooden,color,#4fc0f8,filler,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,relevant,blue wooden,sound,#4fc0f8,filler,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,blue metal,color,#53e4e6,critical,metal_wood_01,metal,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue wooden,color,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,relevant,blue metal,sound,#4fc0f8,critical,metal_wood_04,metal,blue,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,relevant,green metal,sound,#4ff889,filler,metal_wood_00,metal,green,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,base,green wooden,color,#4ff889,critical,metal_wood_09,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue wooden,sound,#52ebe3,critical,metal_wood_08,wood,green,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,green wooden,sound,#4ff889,critical,metal_wood_04,metal,green,FALSE,2,TRUE,color & material,color
participant005,list3,high,description,relevant,blue metal,sound,#4fc0f8,filler,metal_wood_01,metal,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,green wood,color,#4fc0f8,critical,metal_wood_04,metal,blue,FALSE,2,TRUE,color & material,material
participant005,list3,high,description,relevant,green metal,sound,#4ff889,filler,metal_wood_01,metal,green,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,base,green metal,sound,#4ff889,critical,metal_wood_00,metal,green,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,blue wooden,color,#53e4e6,critical,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,relevant,blue metal,sound,#4fc0f8,critical,metal_wood_04,metal,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,green wooden,color,#4ff889,critical,metal_wood_05,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue wooden,color,#4fc0f8,critical,metal_wood_08,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,relevant,blue wooden,color,#4fc0f8,filler,metal_wood_08,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,relevant,green wooden,color,#4ff889,filler,metal_wood_08,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue wooden,sound,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,blue wooden,color,#4fc0f8,critical,metal_wood_04,metal,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,relevant,blue wooden,sound,#4fc0f8,critical,metal_wood_05,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,relevant,blue wooden,sound,#4fc0f8,filler,metal_wood_08,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,green wooden,color,#4ff889,critical,metal_wood_05,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue wooden,sound,#52ebe3,critical,metal_wood_09,wood,green,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,blue wooden,sound,#4fc0f8,critical,metal_wood_05,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,blue wooden,color,#53e4e6,critical,metal_wood_08,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue metal,color,#4fc0f8,critical,metal_wood_00,metal,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue wood,sound,#52ebe3,critical,metal_wood_09,wood,green,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,relevant,green wooden,sound,#4ff889,filler,metal_wood_08,wood,green,TRUE,2,TRUE,color & material,color
participant005,list3,high,description,base,green wood,color,#4ff889,critical,metal_wood_09,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,relevant,green wooden,sound,#4fc0f8,critical,metal_wood_05,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,irrelevant,blue wooden,sound,#53e4e6,critical,metal_wood_00,metal,blue,FALSE,2,TRUE,color & material,color
participant005,list3,high,description,base,green metal,color,#4ff889,critical,metal_wood_01,metal,green,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue metal,color,#4fc0f8,critical,metal_wood_04,metal,blue,TRUE,2,TRUE,color & material,material
participant005,list3,low,description,irrelevant,blue metal,sound,#52ebe3,critical,metal_wood_01,metal,green,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,green wooden,color,#52ebe3,critical,metal_wood_09,wood,green,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,green metal,sound,#4ff889,critical,metal_wood_00,metal,green,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,blue wooden,color,#53e4e6,critical,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,material
participant005,list3,high,description,base,blue wooden,sound,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,2,TRUE,color & material,color
participant005,list3,low,description,relevant,green wooden,sound,#4ff889,critical,metal_wood_05,wood,green,TRUE,2,TRUE,color & material,color
participant006,list2,high,description,relevant,the wooden bat,sound,#f8884f,filler,metal_wood_08,wood,orange,TRUE,1,FALSE,material,NA
participant006,list2,high,description,relevant,the yellow bat,color,#f8dc4f,filler,metal_wood_08,wood,yellow,TRUE,1,FALSE,color,NA
participant006,list2,low,description,irrelevant,the orange bat,color,#f8884f,critical,metal_wood_07,wood,orange,TRUE,1,FALSE,color,NA
participant006,list2,low,description,relevant,the yellow wooden bat,sound,#f8dc4f,critical,metal_wood_07,wood,yellow,TRUE,2,TRUE,color & material,color
participant006,list2,low,description,relevant,the yellow metal bat,color,#fab250,critical,metal_wood_00,metal,orange,FALSE,2,TRUE,color & material,material
participant006,list2,low,description,relevant,the orange wooden bat,sound,#f8884f,critical,metal_wood_06,wood,orange,TRUE,2,TRUE,color & material,color
participant006,list2,high,description,base,the metal bat,sound,#f8884f,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant006,list2,high,description,relevant,the wooden bat,sound,#f8dc4f,filler,metal_wood_09,wood,yellow,TRUE,1,FALSE,material,NA
participant006,list2,high,description,base,the orange metal bat,color,#f8884f,critical,metal_wood_01,metal,orange,TRUE,2,TRUE,color & material,material
participant006,list2,low,description,relevant,the orange metal bat,color,#fab250,critical,metal_wood_00,metal,orange,TRUE,2,TRUE,color & material,material
participant006,list2,high,description,relevant,the orange metal bat,sound,#f8884f,filler,metal_wood_01,metal,orange,TRUE,2,TRUE,color & material,color
participant006,list2,high,description,base,the yellow bat,color,#f8dc4f,critical,metal_wood_08,wood,yellow,TRUE,1,FALSE,color,NA
participant006,list2,high,description,relevant,yellow metal bat,color,#f8dc4f,filler,metal_wood_01,metal,yellow,TRUE,2,TRUE,color & material,material
participant006,list2,high,description,relevant,metal bat,sound,#f8884f,filler,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant006,list2,high,description,base,orange bat,color,#f8884f,critical,metal_wood_09,wood,orange,TRUE,1,FALSE,color,NA
participant006,list2,low,description,irrelevant,yellow bat,color,#f8dc4f,critical,metal_wood_06,wood,yellow,TRUE,1,FALSE,color,NA
participant006,list2,low,description,relevant,yellow wooden bat,color,#fabd50,critical,metal_wood_08,wood,yellow,TRUE,2,TRUE,color & material,material
participant006,list2,low,description,irrelevant,orange bat,color,#f8884f,critical,metal_wood_06,wood,orange,TRUE,1,FALSE,color,NA
participant006,list2,low,description,relevant,orange metal bat,color,#fabd50,critical,metal_wood_08,wood,yellow,FALSE,2,TRUE,color & material,material
participant006,list2,high,description,base,orange metal bat,color,#f8884f,critical,metal_wood_01,metal,orange,TRUE,2,TRUE,color & material,material
participant006,list2,low,description,relevant,orange metal bat,color,#fab250,critical,metal_wood_08,wood,orange,TRUE,2,TRUE,color & material,material
participant006,list2,high,description,relevant,orange metal bat,sound,#f8884f,filler,metal_wood_01,metal,orange,TRUE,2,TRUE,color & material,color
participant006,list2,low,description,relevant,yellow metal bat,sound,#f8884f,critical,metal_wood_07,wood,orange,FALSE,2,TRUE,color & material,color
participant006,list2,low,description,irrelevant,wooden bat,sound,#fabd50,critical,metal_wood_09,wood,yellow,TRUE,1,FALSE,material,NA
participant006,list2,low,description,irrelevant,metal bat,sound,#fab250,critical,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant006,list2,low,description,relevant,metal bat,sound,#f8dc4f,critical,metal_wood_07,wood,yellow,FALSE,1,FALSE,material,NA
participant006,list2,low,description,relevant,yellow metal bat,sound,#f8dc4f,critical,metal_wood_07,wood,yellow,FALSE,2,TRUE,color & material,color
participant006,list2,high,description,relevant,orange wooden bat,color,#f8884f,filler,metal_wood_09,wood,orange,TRUE,2,TRUE,color & material,material
participant006,list2,low,description,relevant,wooden bat,sound,#f8dc4f,critical,metal_wood_06,wood,yellow,TRUE,1,FALSE,material,NA
participant006,list2,high,description,base,yellow metal bat,color,#f8dc4f,critical,metal_wood_01,metal,yellow,TRUE,2,TRUE,color & material,material
participant006,list2,high,description,base,wooden bat,sound,#f8884f,critical,metal_wood_08,wood,orange,TRUE,1,FALSE,material,NA
participant006,list2,high,description,base,yellow wooden bat,color,#f8dc4f,critical,metal_wood_09,wood,yellow,TRUE,2,TRUE,color & material,material
participant006,list2,low,description,irrelevant,wooden bat,sound,#fab250,critical,metal_wood_00,metal,orange,FALSE,1,FALSE,material,NA
participant007,list4,high,description,relevant,the green metal bat.,sound,#4ff889,filler,metal_wood_00,metal,green,TRUE,3,TRUE,color & material,color
participant007,list4,high,description,relevant,the blue bat.,color,#4fc0f8,filler,metal_wood_00,metal,blue,TRUE,2,TRUE,color,material
participant007,list4,high,description,relevant,the green bat.,color,#4ff889,filler,metal_wood_09,wood,green,TRUE,2,TRUE,color,material
participant007,list4,high,description,relevant,th green bat,color,#4ff889,filler,metal_wood_01,metal,green,TRUE,2,TRUE,color,material
participant007,list4,low,description,relevant,the green wooden bast,color,#53e7e5,critical,metal_wood_08,wood,green,TRUE,3,TRUE,color & material,material
participant007,list4,high,description,base,the blue bat,color,#4fc0f8,critical,metal_wood_01,metal,blue,TRUE,1,FALSE,color,NA
participant007,list4,low,description,irrelevant,the green bay,color,#4ff889,critical,metal_wood_08,wood,green,TRUE,2,TRUE,color,material
participant007,list4,low,description,irrelevant,the blue bat,color,#4fc0f8,critical,metal_wood_06,NA,blue,TRUE,1,FALSE,color,NA
participant007,list4,high,description,relevant,the blue bat,color,#4fc0f8,filler,metal_wood_08,wood,blue,TRUE,1,FALSE,color,NA
participant007,list4,high,description,base,the green wooden bat,sound,#4ff889,critical,metal_wood_09,wood,green,TRUE,2,TRUE,color & material,color
participant007,list4,low,description,relevant,the green bat,color,#53e7e5,critical,metal_wood_09,wood,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,irrelevant,the green bat,color,#4ff889,critical,metal_wood_06,NA,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the green and wooden bat,sound,#4ff889,critical,metal_wood_08,wood,green,TRUE,3,TRUE,color & material,color
participant007,list4,low,description,irrelevant,the green and metal bat,sound,#53e7e5,critical,metal_wood_01,metal,green,TRUE,3,TRUE,color & material,color
participant007,list4,high,description,base,the blue bat,color,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the blue and metal bat,sound,#4fc0f8,critical,metal_wood_06,NA,blue,TRUE,3,TRUE,color & material,color
participant007,list4,high,description,relevant,the green and wooden bat,sound,#4ff889,filler,metal_wood_09,wood,green,TRUE,3,TRUE,color & material,color
participant007,list4,high,description,base,the blue bat,color,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the green and wooden bat,sound,#4ff889,critical,metal_wood_08,wood,green,TRUE,3,TRUE,color & material,color
participant007,list4,low,description,irrelevant,the green bat,color,#4ff889,critical,metal_wood_06,NA,green,TRUE,1,FALSE,color,NA
participant007,list4,high,description,relevant,the wooden bat,sound,#4ff889,filler,metal_wood_09,wood,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the green bat,color,#4ff889,critical,metal_wood_08,wood,green,TRUE,1,FALSE,color,NA
