participant,utc,list,dimension,phase,response,step
participant001,1724255807836,list2,yellow,ColorStaircase,yellow,0
participant001,1724255809100,list2,orange,ColorStaircase,orange,0
participant001,1724255809868,list2,yellow,ColorStaircase,yellow,0
participant001,1724255810573,list2,orange,ColorStaircase,orange,0
participant001,1724255811277,list2,yellow,ColorStaircase,yellow,5
participant001,1724255812037,list2,yellow,ColorStaircase,yellow,5
participant001,1724255812837,list2,yellow,ColorStaircase,yellow,10
participant001,1724255813732,list2,orange,ColorStaircase,orange,5
participant001,1724255814476,list2,orange,ColorStaircase,orange,5
participant001,1724255815357,list2,yellow,ColorStaircase,yellow,10
participant001,1724255816205,list2,orange,ColorStaircase,orange,10
participant001,1724255817028,list2,orange,ColorStaircase,orange,10
participant001,1724255817813,list2,orange,ColorStaircase,orange,15
participant001,1724255818677,list2,yellow,ColorStaircase,yellow,15
participant001,1724255819452,list2,orange,ColorStaircase,orange,15
participant001,1724255820221,list2,orange,ColorStaircase,yellow,20
participant001,1724255821243,list2,yellow,ColorStaircase,yellow,15
participant001,1724255823588,list2,yellow,ColorStaircase,yellow,20
participant001,1724255824772,list2,yellow,ColorStaircase,yellow,20
participant001,1724255825509,list2,orange,ColorStaircase,orange,16
participant001,1724255826221,list2,orange,ColorStaircase,orange,16
participant001,1724255826931,list2,orange,ColorStaircase,orange,18
participant001,1724255827669,list2,orange,ColorStaircase,orange,18
participant001,1724255828444,list2,orange,ColorStaircase,orange,20
participant001,1724255829596,list2,orange,ColorStaircase,orange,20
participant001,1724255830259,list2,yellow,ColorStaircase,orange,25
participant001,1724255831100,list2,yellow,ColorStaircase,yellow,21
participant001,1724255831997,list2,yellow,ColorStaircase,yellow,21
participant001,1724255834164,list2,yellow,ColorStaircase,yellow,23
participant001,1724255835541,list2,yellow,ColorStaircase,orange,23
participant001,1724255837444,list2,yellow,ColorStaircase,orange,22
participant001,1724255838748,list2,yellow,ColorStaircase,yellow,21
participant001,1724255839772,list2,orange,ColorStaircase,orange,22
participant001,1724255841085,list2,yellow,ColorStaircase,yellow,21
participant001,1724255842147,list2,orange,ColorStaircase,orange,22
participant001,1724255843220,list2,orange,ColorStaircase,orange,24
participant001,1724255844116,list2,orange,ColorStaircase,orange,24
participant001,1724255846085,list2,orange,ColorStaircase,orange,26
participant001,1724255846853,list2,orange,ColorStaircase,orange,26
participant001,1724255847972,list2,orange,ColorStaircase,orange,28
participant001,1724255848964,list2,orange,ColorStaircase,orange,28
participant001,1724255850109,list2,orange,ColorStaircase,yellow,30
participant001,1724255850837,list2,orange,ColorStaircase,yellow,29
participant001,1724255852067,list2,orange,ColorStaircase,yellow,28
participant001,1724255852980,list2,orange,ColorStaircase,yellow,27
participant001,1724255853924,list2,orange,ColorStaircase,yellow,26
participant001,1724255854859,list2,orange,ColorStaircase,orange,25
participant001,1724255856245,list2,orange,ColorStaircase,orange,25
participant005,1724260279119,list3,green,ColorStaircase,green,0
participant005,1724260279884,list3,green,ColorStaircase,green,0
participant005,1724260280667,list3,blue,ColorStaircase,blue,0
participant005,1724260281289,list3,blue,ColorStaircase,blue,0
participant005,1724260281956,list3,green,ColorStaircase,green,5
participant005,1724260282615,list3,blue,ColorStaircase,blue,5
participant005,1724260283560,list3,green,ColorStaircase,green,5
participant005,1724260284318,list3,blue,ColorStaircase,blue,5
participant005,1724260284947,list3,blue,ColorStaircase,blue,10
participant005,1724260285889,list3,green,ColorStaircase,green,10
participant005,1724260286898,list3,blue,ColorStaircase,blue,10
participant005,1724260287998,list3,blue,ColorStaircase,blue,15
participant005,1724260289560,list3,green,ColorStaircase,green,10
participant005,1724260290928,list3,blue,ColorStaircase,blue,15
participant005,1724260292218,list3,blue,ColorStaircase,blue,20
participant005,1724260293000,list3,green,ColorStaircase,green,15
participant005,1724260294832,list3,blue,ColorStaircase,blue,20
participant005,1724260296724,list3,green,ColorStaircase,green,15
participant005,1724260297646,list3,green,ColorStaircase,green,20
participant005,1724260298377,list3,green,ColorStaircase,green,20
participant005,1724260299761,list3,green,ColorStaircase,green,25
participant005,1724260300742,list3,green,ColorStaircase,green,25
participant005,1724260301584,list3,blue,ColorStaircase,green,25
participant005,1724260302911,list3,blue,ColorStaircase,green,21
participant005,1724260304990,list3,green,ColorStaircase,green,30
participant005,1724260306046,list3,blue,ColorStaircase,green,17
participant005,1724260308268,list3,green,ColorStaircase,green,30
participant005,1724260308933,list3,blue,ColorStaircase,blue,13
participant005,1724260309623,list3,blue,ColorStaircase,blue,13
participant005,1724260310891,list3,green,ColorStaircase,blue,35
participant005,1724260311921,list3,green,ColorStaircase,blue,31
participant005,1724260313202,list3,blue,ColorStaircase,blue,15
participant005,1724260314822,list3,blue,ColorStaircase,blue,15
participant005,1724260316199,list3,blue,ColorStaircase,green,17
participant005,1724260318079,list3,blue,ColorStaircase,blue,16
participant005,1724260319589,list3,green,ColorStaircase,green,27
participant005,1724260320888,list3,green,ColorStaircase,green,27
participant005,1724260322244,list3,green,ColorStaircase,green,29
participant005,1724260323115,list3,blue,ColorStaircase,blue,16
participant005,1724260324269,list3,green,ColorStaircase,green,29
