participant,nDistract,redundant,response,setSize,targetColor,targetOrient,targetPosition,targetShape,trialType,overinformative
participant001,distractors0,colorredundant,blue hexagon,setsize16,blue,NA,two,hexagon,crit,TRUE
participant001,distractors0,colorredundant,square,setsize16,blue,NA,one,square,crit,FALSE
participant001,distractors1,colorredundant,hexagon,setsize16,green,NA,five,hexagon,crit,FALSE
participant001,distractors1,colorredundant,square,setsize16,green,NA,sixteen,square,crit,FALSE
participant001,distractors2,colorredundant,blue pentagon,setsize16,blue,NA,nine,pentagon,crit,TRUE
participant001,distractors2,colorredundant,hexagon,setsize16,green,NA,three,hexagon,crit,FALSE
participant001,distractors3,colorredundant,circle,setsize16,green,NA,seven,circle,crit,FALSE
participant001,distractors3,colorredundant,hexagon,setsize16,blue,NA,five,hexagon,crit,FALSE
participant001,distractors4,colorredundant,pentagon,setsize16,green,NA,eight,pentagon,crit,FALSE
participant001,distractors4,colorredundant,pentagon,setsize16,blue,NA,six,pentagon,crit,FALSE
participant001,distractors0,colorredundant,hexagon,setsize03,blue,NA,three,hexagon,crit,FALSE
participant001,distractors0,colorredundant,pentagon,setsize03,green,NA,one,pentagon,crit,FALSE
participant001,distractors1,colorredundant,blue pentagon,setsize03,blue,NA,one,pentagon,crit,TRUE
participant001,distractors1,colorredundant,square,setsize03,blue,NA,one,square,crit,FALSE
participant001,distractors0,colorredundant,green square,setsize06,green,NA,one,square,crit,TRUE
participant001,distractors0,colorredundant,hexagon,setsize06,blue,NA,five,hexagon,crit,FALSE
participant001,distractors1,colorredundant,circle,setsize06,green,NA,five,circle,crit,FALSE
participant001,distractors1,colorredundant,square,setsize06,green,NA,six,square,crit,FALSE
participant001,distractors2,colorredundant,green pentagon,setsize06,green,NA,six,pentagon,crit,TRUE
participant001,distractors2,colorredundant,green pentagon,setsize06,green,NA,two,pentagon,crit,TRUE
participant001,distractors3,colorredundant,circle,setsize06,green,NA,two,circle,crit,FALSE
participant001,distractors3,colorredundant,pentagon,setsize06,green,NA,one,pentagon,crit,FALSE
participant001,distractors4,colorredundant,green hexagon,setsize06,green,NA,four,hexagon,crit,TRUE
participant001,distractors4,colorredundant,square,setsize06,green,NA,three,square,crit,FALSE
participant001,distractors0,colorredundant,circle,setsize09,blue,NA,eight,circle,crit,FALSE
participant001,distractors0,colorredundant,hexagon,setsize09,green,NA,four,hexagon,crit,FALSE
participant001,distractors1,colorredundant,blue square,setsize09,blue,NA,two,square,crit,TRUE
participant001,distractors1,colorredundant,green hexagon,setsize09,green,NA,two,hexagon,crit,TRUE
participant001,distractors2,colorredundant,blue pentagon,setsize09,blue,NA,eight,pentagon,crit,TRUE
participant001,distractors2,colorredundant,pentagon,setsize09,blue,NA,four,pentagon,crit,FALSE
participant001,distractors3,colorredundant,pentagon,setsize09,green,NA,six,pentagon,crit,FALSE
participant001,distractors3,colorredundant,square,setsize09,blue,NA,four,square,crit,FALSE
participant001,distractors4,colorredundant,blue pentagon,setsize09,blue,NA,four,pentagon,crit,TRUE
participant001,distractors4,colorredundant,pentagon,setsize09,green,NA,nine,pentagon,crit,FALSE
participant002,distractors0,colorredundantlowfreq,jade circle,setsize16,jade,NA,ten,circle,crit,TRUE
participant002,distractors0,colorredundantlowfreq,teal hexagon,setsize16,teal,NA,four,hexagon,crit,TRUE
participant002,distractors1,colorredundantlowfreq,jade square,setsize16,jade,NA,thirteen,square,crit,TRUE
participant002,distractors1,colorredundantlowfreq,teal circle,setsize16,teal,NA,fourteen,circle,crit,TRUE
participant002,distractors2,colorredundantlowfreq,jade hexagon,setsize16,jade,NA,seven,hexagon,crit,TRUE
