participant,index,nDistract,redundant,response,setSize,trialType,overinformative
participant001,4,distractors2,colorredundant,has four corners,setsize06,crit,FALSE
participant001,5,distractors0,colorredundant,has four green corners,setsize16,crit,TRUE
participant001,6,distractors1,colorredundant,has four corners blue,setsize03,crit,TRUE
participant001,8,distractors1,colorredundant,four corners green,setsize06,crit,TRUE
participant001,9,distractors0,colorredundant,five corners green,setsize06,crit,TRUE
participant001,11,distractors0,colorredundant,five corners blue,setsize16,crit,TRUE
participant001,13,distractors4,colorredundant,6 corners blue,setsize06,crit,TRUE
participant001,14,distractors0,colorredundant,5 corners green,setsize09,crit,TRUE
participant001,16,distractors2,colorredundant,4 corners green,setsize09,crit,TRUE
participant001,17,distractors0,colorredundant,four corners blue,setsize16,crit,TRUE
participant001,18,distractors3,colorredundant,green 6 sides,setsize06,crit,TRUE
participant001,22,distractors2,colorredundant,green round,setsize06,crit,TRUE
participant001,23,distractors4,colorredundant,blue 4 sides,setsize06,crit,TRUE
participant001,24,distractors4,colorredundant,green 4 sides,setsize09,crit,TRUE
participant001,26,distractors3,colorredundant,green 4 sides,setsize06,crit,TRUE
participant001,27,distractors0,colorredundant,round green,setsize16,crit,TRUE
participant001,28,distractors0,colorredundant,5 sides green,setsize16,crit,TRUE
participant001,29,distractors0,colorredundant,blue 6 sides,setsize03,crit,TRUE
participant001,30,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant001,31,distractors0,colorredundant,round green,setsize16,crit,TRUE
participant001,34,distractors0,colorredundant,blue 6 sides,setsize09,crit,TRUE
participant001,35,distractors0,colorredundant,blue 4 sides square,setsize16,crit,TRUE
participant001,36,distractors1,colorredundant,green 5 sides,setsize09,crit,TRUE
participant001,39,distractors2,colorredundant,blue six sides,setsize09,crit,TRUE
participant001,40,distractors0,colorredundant,blue square,setsize03,crit,TRUE
participant001,41,distractors0,colorredundant,green 5 sides,setsize16,crit,TRUE
participant001,44,distractors1,colorredundant,green 5 sides,setsize03,crit,TRUE
participant001,45,distractors4,colorredundant,green 6 sides,setsize09,crit,TRUE
participant001,46,distractors1,colorredundant,blue 6 sides,setsize06,crit,TRUE
participant001,47,distractors3,colorredundant,green 5 sides,setsize09,crit,TRUE
participant001,48,distractors1,colorredundant,green round,setsize09,crit,TRUE
participant001,49,distractors0,colorredundant,green square,setsize06,crit,TRUE
participant001,50,distractors3,colorredundant,green 6 sides,setsize09,crit,TRUE
participant002,4,distractors3,colorredundant,green pentagon,setsize09,crit,TRUE
participant002,5,distractors0,colorredundant,blue pentagon,setsize16,crit,TRUE
participant002,7,distractors4,colorredundant,blue circle,setsize06,crit,TRUE
participant002,8,distractors1,colorredundant,blue circle,setsize06,crit,TRUE
participant002,9,distractors1,colorredundant,green square,setsize09,crit,TRUE
participant002,11,distractors2,colorredundant,green pentagon,setsize06,crit,TRUE
participant002,12,distractors0,colorredundant,blue circle,setsize06,crit,TRUE
participant002,13,distractors1,colorredundant,blue hexagon,setsize03,crit,TRUE
participant002,14,distractors4,colorredundant,green hexagon,setsize09,crit,TRUE
participant002,15,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant002,16,distractors0,colorredundant,green circle,setsize16,crit,TRUE
participant002,17,distractors0,colorredundant,blue square,setsize16,crit,TRUE
participant002,19,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant002,23,distractors2,colorredundant,blue pentagon,setsize09,crit,TRUE
participant002,25,distractors1,colorredundant,blue hexagon,setsize06,crit,TRUE
participant002,26,distractors0,colorredundant,green hexagon,setsize16,crit,TRUE
participant002,27,distractors4,colorredundant,blue circle,setsize09,crit,TRUE
participant002,29,distractors2,colorredundant,green circle,setsize06,crit,TRUE
participant002,30,distractors4,colorredundant,blue square,setsize06,crit,TRUE
participant002,32,distractors1,colorredundant,green hexagon,setsize09,crit,TRUE
participant002,35,distractors3,colorredundant,blue hexagon,setsize06,crit,TRUE
participant002,36,distractors3,colorredundant,green hexagon,setsize06,crit,TRUE
participant002,37,distractors3,colorredundant,green square,setsize09,crit,TRUE
participant002,40,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant002,41,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant002,44,distractors2,colorredundant,blue pentagon,setsize09,crit,TRUE
participant002,45,distractors1,colorredundant,green pentagon,setsize03,crit,TRUE
participant002,46,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant002,49,distractors0,colorredundant,green square,setsize16,crit,TRUE
participant003,4,distractors0,colorredundant,6 sided green shape,setsize16,crit,TRUE
participant003,5,distractors3,colorredundant,6 sided blue shape,setsize06,crit,TRUE
participant003,7,distractors4,colorredundant,5 sided green shape,setsize09,crit,TRUE
participant003,8,distractors1,colorredundant,5 sided green shape,setsize03,crit,TRUE
participant003,10,distractors4,colorredundant,blue square,setsize09,crit,TRUE
participant003,11,distractors3,colorredundant,6 sided blue,setsize09,crit,TRUE
participant003,14,distractors3,colorredundant,6 sided blue,setsize09,crit,TRUE
participant003,15,distractors0,colorredundant,green square,setsize09,crit,TRUE
participant003,16,distractors2,colorredundant,6 sided green,setsize06,crit,TRUE
participant003,17,distractors0,colorredundant,blue circle,setsize16,crit,TRUE
participant003,18,distractors0,colorredundant,green square,setsize06,crit,TRUE
participant003,19,distractors0,colorredundant,5 sided green,setsize16,crit,TRUE
participant003,20,distractors0,colorredundant,5 sided green,setsize16,crit,TRUE
participant003,21,distractors2,colorredundant,6 sided blue,setsize09,crit,TRUE
participant003,23,distractors0,colorredundant,5 sided green,setsize16,crit,TRUE
participant003,24,distractors0,colorredundant,green circle,setsize03,crit,TRUE
participant003,25,distractors1,colorredundant,blue square,setsize06,crit,TRUE
participant003,27,distractors0,colorredundant,6 sided blue,setsize09,crit,TRUE
participant003,30,distractors0,colorredundant,6 sided green,setsize06,crit,TRUE
